c#Cluster	m#docname
C5	201403103200628_1.txt
C2	201403103200628_10.txt
C3	201403103200628_100.txt
C8	201403103200628_101.txt
C4	201403103200628_102.txt
C3	201403103200628_103.txt
C2	201403103200628_104.txt
C8	201403103200628_105.txt
C7	201403103200628_106.txt
C7	201403103200628_107.txt
C7	201403103200628_109.txt
C3	201403103200628_11.txt
C4	201403103200628_111.txt
C6	201403103200628_113.txt
C1	201403103200628_114.txt
C6	201403103200628_115.txt
C3	201403103200628_116.txt
C1	201403103200628_117.txt
C1	201403103200628_118.txt
C1	201403103200628_119.txt
C7	201403103200628_12.txt
C4	201403103200628_120.txt
C1	201403103200628_121.txt
C1	201403103200628_122.txt
C4	201403103200628_123.txt
C1	201403103200628_124.txt
C4	201403103200628_125.txt
C8	201403103200628_126.txt
C9	201403103200628_127.txt
C1	201403103200628_128.txt
C3	201403103200628_129.txt
C4	201403103200628_13.txt
C9	201403103200628_130.txt
C4	201403103200628_131.txt
C3	201403103200628_132.txt
C3	201403103200628_133.txt
C3	201403103200628_134.txt
C1	201403103200628_135.txt
C2	201403103200628_136.txt
C9	201403103200628_137.txt
C4	201403103200628_138.txt
C2	201403103200628_139.txt
C7	201403103200628_14.txt
C2	201403103200628_140.txt
C4	201403103200628_141.txt
C6	201403103200628_142.txt
C5	201403103200628_143.txt
C4	201403103200628_144.txt
C4	201403103200628_145.txt
C4	201403103200628_146.txt
C7	201403103200628_147.txt
C7	201403103200628_148.txt
C1	201403103200628_149.txt
C7	201403103200628_15.txt
C1	201403103200628_150.txt
C4	201403103200628_151.txt
C8	201403103200628_152.txt
C5	201403103200628_153.txt
C8	201403103200628_154.txt
C5	201403103200628_155.txt
C8	201403103200628_156.txt
C5	201403103200628_157.txt
C8	201403103200628_158.txt
C5	201403103200628_159.txt
C2	201403103200628_16.txt
C2	201403103200628_160.txt
C3	201403103200628_161.txt
C9	201403103200628_162.txt
C3	201403103200628_163.txt
C7	201403103200628_164.txt
C1	201403103200628_165.txt
C1	201403103200628_166.txt
C3	201403103200628_167.txt
C1	201403103200628_168.txt
C7	201403103200628_169.txt
C6	201403103200628_17.txt
C3	201403103200628_170.txt
C6	201403103200628_171.txt
C1	201403103200628_172.txt
C3	201403103200628_173.txt
C7	201403103200628_174.txt
C7	201403103200628_175.txt
C9	201403103200628_176.txt
C5	201403103200628_177.txt
C1	201403103200628_178.txt
C5	201403103200628_179.txt
C3	201403103200628_18.txt
C5	201403103200628_180.txt
